"id","timestamp","x","y","z"
2033,2015-10-16 00:10:34.000,404839.01279477,5872739.19011523,2.898
2033,2015-10-16 00:12:24.000,404839.04613562,5872739.170369,2.898
2033,2015-10-16 00:36:41.000,404840.46519341,5872741.12056661,2.898
2033,2015-10-16 00:39:26.000,404840.50779477,5872741.14881706,2.898
2033,2015-10-16 00:55:56.000,404840.72073574,5872741.08380837,2.898
2033,2015-10-16 01:08:46.000,404840.80467502,5872740.96907749,2.898
2033,2015-10-16 01:11:03.000,404840.82089608,5872740.94866631,2.898
2033,2015-10-16 01:21:08.000,404840.88647176,5872740.8295925,2.898
2033,2015-10-16 01:30:19.000,404841.01938141,5872740.29239487,2.898
2033,2015-10-16 01:31:13.000,404841.06600458,5872740.31026473,2.898
2033,2015-10-16 01:32:08.000,404841.06760999,5872740.31805939,2.898
2033,2015-10-16 01:33:03.000,404841.08356544,5872740.32884259,2.898
2033,2015-10-16 01:34:53.000,404841.08885648,5872740.32907059,2.898
2033,2015-10-16 01:35:48.000,404841.08795985,5872740.32627479,2.898
2033,2015-10-16 01:37:38.000,404841.0807814,5872740.30314883,2.898
2033,2015-10-16 01:38:33.000,404841.07339794,5872740.28905113,2.898
2033,2015-10-16 01:40:23.000,404841.05612059,5872740.2459645,2.898
2033,2015-10-16 01:41:18.000,404841.06009552,5872740.26999796,2.898
2033,2015-10-16 01:43:08.000,404841.01968496,5872740.26402761,2.898
2033,2015-10-16 01:44:03.000,404841.01501014,5872740.25275698,2.898
2033,2015-10-16 01:44:58.000,404841.06660685,5872740.16133438,2.898
2033,2015-10-16 01:45:53.000,404841.70506821,5872741.351054,2.898
2033,2015-10-16 01:46:48.000,404841.67916972,5872741.2784781,2.898
2033,2015-10-16 01:48:38.000,404841.66268053,5872741.2346861,2.898
2033,2015-10-16 01:49:33.000,404841.668262,5872741.25817087,2.898
2033,2015-10-16 01:50:28.000,404841.67101015,5872741.27963834,2.898
2033,2015-10-16 01:51:23.000,404841.67185236,5872741.29714426,2.898
2033,2015-10-16 01:54:08.000,404841.67011796,5872741.33076991,2.898
2033,2015-10-16 01:55:03.000,404841.66871967,5872741.35121784,2.898
2033,2015-10-16 01:56:53.000,404841.68524599,5872741.36386851,2.898
2033,2015-10-16 01:57:48.000,404841.69450459,5872741.3698435,2.898
2033,2015-10-16 01:58:43.000,404841.69963847,5872741.37356992,2.898
2033,2015-10-16 02:03:18.000,404841.70908056,5872741.15493281,2.898
2033,2015-10-16 02:06:03.000,404842.00965926,5872741.49969917,2.898
2033,2015-10-16 02:11:33.000,404842.01473426,5872741.47213807,2.898
2033,2015-10-16 02:12:56.000,404842.01269163,5872741.46900027,2.898
2033,2015-10-16 02:14:18.000,404842.00921864,5872741.45598228,2.898
2033,2015-10-16 02:19:48.000,404842.0513642,5872741.53031389,2.898
2033,2015-10-16 02:36:46.000,404842.19748614,5872741.77556789,2.898
2033,2015-10-16 02:37:41.000,404842.2035795,5872741.78441969,2.898
2033,2015-10-16 02:42:16.000,404842.25125978,5872741.79062374,2.898
2033,2015-10-16 02:45:01.000,404842.21418744,5872741.76540605,2.898
2033,2015-10-16 02:46:51.000,404842.14698846,5872740.92475841,2.898
2033,2015-10-16 02:48:41.000,404841.9001922,5872741.041702,2.898
2033,2015-10-16 02:52:20.000,404841.89097048,5872741.01526852,2.898
2033,2015-10-16 02:55:07.000,404841.90328195,5872741.02566255,2.898
2033,2015-10-16 03:00:09.000,404841.88819375,5872741.06052625,2.898
2033,2015-10-16 03:02:53.000,404841.85456587,5872741.09582279,2.898
2033,2015-10-16 03:04:16.000,404841.84127389,5872741.10316414,2.898
2033,2015-10-16 03:09:46.000,404841.78685403,5872741.11701548,2.898
2033,2015-10-16 03:12:31.000,404841.76105563,5872741.11725325,2.898
2033,2015-10-16 03:19:24.000,404841.5840654,5872741.03872707,2.898
2033,2015-10-16 03:20:19.000,404841.58354818,5872741.0351188,2.898
2033,2015-10-16 03:20:45.000,404841.59087545,5872741.05765164,2.898
2033,2015-10-16 03:22:08.000,404840.85259951,5872740.37881642,2.898
2033,2015-10-16 03:23:04.000,404839.57061096,5872740.07190564,2.898
2033,2015-10-16 03:24:26.000,404841.93622911,5872740.57063299,2.898
2033,2015-10-16 03:24:54.000,404841.91204615,5872740.54906623,2.898
2033,2015-10-16 03:26:16.000,404841.93815464,5872740.60344871,2.898
2033,2015-10-16 03:29:29.000,404841.92169729,5872740.56444984,2.898
