"id","timestamp","x","y","z"
2039,2015-11-01 05:38:02.000,404546.90564282,5872533.59493099,3.726
2039,2015-11-01 05:38:58.000,404546.24610812,5872533.51225043,3.933
2039,2015-11-01 05:39:52.000,404544.50695206,5872533.38802005,3.933
2039,2015-11-01 05:40:47.000,404544.40036736,5872533.41330403,3.933
2039,2015-11-01 05:41:42.000,404544.32194966,5872533.50837188,3.933
2039,2015-11-01 05:42:37.000,404546.30647956,5872535.18077761,3.933
2039,2015-11-01 05:43:32.000,404546.49729796,5872535.96625696,3.933
2039,2015-11-01 05:44:55.000,404549.91623265,5872542.1029553,3.726
2039,2015-11-01 05:47:12.000,404547.98261583,5872544.14640336,3.519
2039,2015-11-01 05:48:08.000,404547.44598717,5872555.88458244,3.519
2039,2015-11-01 05:49:03.000,404546.38479318,5872563.86571673,3.519
2039,2015-11-01 05:49:29.000,404544.3361469,5872565.82782474,3.519
2039,2015-11-01 05:49:57.000,404543.04118338,5872566.96443632,3.519
2039,2015-11-01 05:50:51.000,404542.70999116,5872577.51182587,3.519
2039,2015-11-01 05:52:42.000,404542.83506621,5872592.88812497,3.726
2039,2015-11-01 05:53:38.000,404543.13577005,5872601.84944413,3.519
2039,2015-11-01 05:54:04.000,404542.13984954,5872607.14089151,3.519
2039,2015-11-01 05:54:32.000,404544.21170681,5872611.03696363,3.519
2039,2015-11-01 05:55:27.000,404549.06280764,5872618.92982017,3.519
2039,2015-11-01 05:56:22.000,404552.55187349,5872623.42215718,3.519
2039,2015-11-01 05:57:17.000,404552.70694753,5872623.76418446,3.933
2039,2015-11-01 05:58:12.000,404559.34205577,5872612.84782987,4.14
2039,2015-11-01 06:00:01.000,404560.50494992,5872599.39958658,4.14
2039,2015-11-01 06:00:29.000,404559.0922715,5872597.6570384,4.14
2039,2015-11-01 06:00:57.000,404559.01666978,5872597.03374173,4.347
2039,2015-11-01 06:01:52.000,404557.74145296,5872594.86102564,3.933
2039,2015-11-01 06:03:42.000,404555.19535688,5872579.43261971,4.347
2039,2015-11-01 06:04:38.000,404555.41893241,5872574.70396046,4.14
2039,2015-11-01 06:06:27.000,404561.73342794,5872559.55990696,4.761
2039,2015-11-01 06:07:22.000,404561.90172923,5872553.68792797,4.347
2039,2015-11-01 06:09:12.000,404559.80306102,5872533.99297066,4.14
2039,2015-11-01 06:10:07.000,404558.19728725,5872525.24578419,4.14
2039,2015-11-01 06:11:02.000,404560.36039906,5872522.39314732,4.347
2039,2015-11-01 06:11:58.000,404559.36464542,5872517.27205388,3.933
2039,2015-11-01 06:12:52.000,404575.84590956,5872503.30983982,3.933
2039,2015-11-01 06:13:47.000,404574.87648854,5872498.90012404,4.14
